,index,HR_Mean,HR_Median,HR_std,HR_Min,HR_Max,HR_AUC,Round,Phase,Individual,Puzzler,Frustrated,Cohort
963,136,73.75136054421768,70.975,8.979535713155242,62.38,90.47,21609.2,round_2,phase2,12,1,5,D1_2
964,20,69.68678082191781,69.31,4.758353975547309,62.33,82.38,20272.6,round_4,phase1,2,0,1,D1_1
965,68,82.78097859327218,74.33,16.11091268762806,69.28,116.88,26975.32,round_4,phase1,6,0,1,D1_1
966,69,74.53350574712644,75.92500000000001,6.021685050245261,62.93,82.57,25869.85,round_1,phase3,6,0,2,D1_1
967,131,77.71542955326461,77.97,4.9491790407012655,67.67,84.67,22537.120000000003,round_1,phase1,11,0,0,D1_2
968,62,81.9595486111111,79.74000000000001,7.277546069866027,71.2,98.23,23526.11,round_3,phase1,6,0,2,D1_1
969,162,68.38962837837839,59.485,14.549459033466292,54.38,96.33,20174.03,round_4,phase3,14,0,4,D1_2
970,35,78.50908675799086,78.33,2.1626306310742027,75.13,85.12,34309.265,round_1,phase1,3,1,1,D1_1
971,120,75.62666666666667,75.07,2.864189640867129,70.85,82.33,21932.160000000003,round_3,phase3,11,0,0,D1_2
972,10,74.22255255255256,75.5,4.74187158996253,63.92,80.85,24642.54,round_1,phase2,1,1,1,D1_1
973,35,78.50908675799086,78.33,2.1626306310742027,75.13,85.12,34309.265,round_1,phase1,3,1,1,D1_1
974,53,69.12861016949154,65.35,10.733468530780568,57.87,94.38,20320.415,round_2,phase1,5,0,4,D1_1
975,80,71.27470790378007,69.53,6.331068126412963,63.05,87.33,20666.765,round_4,phase1,7,1,3,D1_1
976,75,77.56958620689656,77.445,6.694663771361022,64.92,88.82,22417.85,round_2,phase3,7,1,5,D1_1
977,146,80.05065068493151,79.55,5.046893221604202,71.25,94.5,23289.25,round_3,phase1,13,1,1,D1_2
978,124,84.18632653061223,86.025,5.783986730666175,72.08,90.95,24671.86,round_2,phase2,11,0,2,D1_2
979,49,70.60831683168317,69.73,5.529045233790237,63.0,79.7,21325.605,round_3,phase2,5,0,3,D1_1
980,71,77.25604118993135,76.25,5.750076196395535,67.08,88.2,33681.08,round_1,phase1,6,0,0,D1_1
